Ref,Val,Package,PosX,PosY,Rot,Side
"P85","GND","GSG-TESTPOINT-50MIL",97.185600,-148.406200,0.000000,top
"P86","GND","GSG-TESTPOINT-50MIL",92.661600,-141.453000,0.000000,top
"P87","GND","GSG-TESTPOINT-50MIL",77.269200,-165.506800,0.000000,top
"P88","GND","GSG-TESTPOINT-50MIL",82.374600,-149.504800,0.000000,top
"P89","GND","GSG-TESTPOINT-50MIL",87.127200,-161.995200,0.000000,top
"P90","GND","GSG-TESTPOINT-50MIL",71.986001,-122.225201,0.000000,top
"P91","GND","GSG-TESTPOINT-50MIL",105.262800,-152.622600,0.000000,top
"P92","GND","GSG-TESTPOINT-50MIL",113.441600,-151.581200,0.000000,top
"Q1","MOSFET_P","SOT23GDS",72.376000,-149.327000,0.000000,top
"Q2","MOSFET_P","SOT23GDS",82.552400,-165.329000,270.000000,top
"Q3","MOSFET_P","SOT23GDS",85.044400,-119.678800,0.000000,top
"Q4","MOSFET_P","SOT23GDS",75.084800,-168.351600,270.000000,top
"Q5","MOSFET_P","SOT23GDS",164.035600,-119.939200,270.000000,top
"R1","470","GSG-0402",89.064400,-152.683600,270.000000,top
"R2","470","GSG-0402",89.699400,-149.635600,180.000000,top
"R3","22k","GSG-0402",91.350400,-152.683600,90.000000,top
"R4","51k","GSG-0402",94.373000,-152.328000,270.000000,top
"R5","10k","GSG-0402",138.359000,-130.931000,315.000000,top
"R6","10k","GSG-0402",139.121000,-130.169000,315.000000,top
"R7","10k","GSG-0402",67.874000,-123.946000,90.000000,top
"R8","1k","GSG-0402",91.821000,-121.936000,270.000000,top
"R9","1k","GSG-0402",93.091000,-121.936000,270.000000,top
"R10","1k","GSG-0402",94.945200,-121.936000,270.000000,top
"R11","10k","GSG-0402",146.029800,-123.387200,180.000000,top
