Ref,Val,Package,PosX,PosY,Rot,Side
"U13","TRF37B73","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",71.706600,-154.483200,0.000000,top
"U14","SKY13317","GSG-SKY13317-373LF",75.262600,-159.117600,90.000000,top
"U15","USB6B1","SOIC-8_3.9x4.9mm_P1.27mm",168.353600,-124.206400,0.000000,top
"U20","W25Q80","GSG-SOIC8-208",160.756600,-158.648400,180.000000,top
"U23","LPC4320FBD144","GSG-LQFP144",149.247794,-140.144270,225.000000,top
"U24","GSG-XC2C64A-7VQG100C","GSG-VQ100",126.746000,-117.017800,270.000000,top
"U25","TRF37B73","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",80.241000,-156.794600,270.000000,top
"X1","GSG-XTAL4PIN","GSG-XTAL3.2x2.5mm",124.675200,-168.768000,90.000000,top
"X2","MCU_XTAL","GSG-XTAL3.2x2.5mm",163.149231,-132.349408,45.000000,top
"X3","RTC_XTAL","GSG-XTAL-AB26TRQ",161.500000,-153.500000,0.000000,top
